rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase,label,user_timestamp,user_review_burst
5,You will love it!,It’s battery powered! Love love it! Works perfectly I don’t care what the negative comments are- nothing negative about it. Great for the purse or cosmetic bag. Travels great!,[],B07CVHWC68,B07CVHWC68,AHX4JB6F63PSFWZQFFT25RWUHUBQ,3/2/2021 1:53,0,TRUE,0,99999,99999
5,"Good, clean soap","Good stuff!  Yes - it's weird to cover yourself with grey foam that smells like a campfire - but when you rinse it off, you're actually clean. No fragrance, no slime.  Nice soap!",[],B00T6PYPII,B00T6PYPII,AG3VGU4WE6EMBVINQJXNOAXYBU6Q,3/30/2017 16:06,3,TRUE,0,99999,99999
5,Love It !!!,I've had this for a little over a month now and I have NOTHING bad to say.  Gives a close shave and is VERY QUIET !!!,[],B000A23CQM,B000A23CQM,AG3RTC4CY5NWUGG4342GDMGGNKYA,7/24/2008 14:33,0,FALSE,1,99999,99999
2,Two Stars,Lashes ere too short didn’t fit my eye,[],B00KDIW98K,B00KDIW98K,AEO7IGCEYEDB4J2I7WODOWKR2EMA,11/21/2017 2:06,0,TRUE,0,99999,99999
1,I can’t used,The magnet doesn’t work is impossible to used. I not sure if i can return it,[],B09LR3G8QL,B09LR3G8QL,AEI4DI2SS5R3KZ4PJ47FR6WZI2KA,12/23/2021 22:53,0,TRUE,0,99999,99999
5,Love lume,"Seriously the ONLY natural deodorant I can use. I’ve tried about 15 other natural deodorants and NONE of them worked like Lume. If it’s the weekend and I dont shower I won’t even begin to start smelling, lume seriously works! I love this stuff!!!!",[],B09NMDKNDS,B09NMDKNDS,AEYF42OSC5GH3Y5BWYOVC7BVLLIA,8/27/2022 17:06,0,TRUE,1,99999,99999
3,"Horrible smell, smelling like lemons is not a manly ...","Horrible smell, smelling like lemons is not a manly in a shape or form. But besides the bad smell, it does pretty good.",[],B010813L3I,B010813L3I,AGOFTTMAKZZ2DPKMVKMUV4N3NX6Q,7/20/2017 22:33,0,TRUE,0,99999,99999
5,Wonderful,Best purchase ever!!!,[],B2AG92R8ZC,B2AG92R8ZC,CXIQ4O0L5VKABIDZ,10/27/2024 3:33,0,FALSE,1,99999,99999
5,I love the jewelry even though its too small for my ...,I love the jewelry even though its too small for my big forehead. It adds a glamurous look to anything !!,[],B00NN1PJHW,B00NN1PJHW,AHDU2TKWYI7UNYK6VTXPUZFFQ7DQ,11/5/2015 16:13,0,TRUE,0,99999,99999
5,can't live without it!,I do my own artificial nail tips.  I've found this to be the best glue.  I can't live without this stuff.  And the price is fabulous!!,[],B00FBQ9I24,B00FBQ9I24,AGVKE576J57YKKDX22E2W2XZ77PQ,8/7/2021 18:13,0,TRUE,0,99999,99999
5,Love these!,These were excellent for me.,[],B00Y077ESA,B00Y077ESA,AHACNM244JY7LXRMHT52M5TW2V4Q,9/30/2022 3:53,0,TRUE,1,99999,99999
5,Great bags,"Perfect. For my Cornhole bags! Bigger ones hold 2 sets smaller ones 1 set, clear one for<br />Personal items",[],B001HK555M,B07JDV1J8D,AE6QY3DYJHVWWJ7KQ3GOAIKFZEKQ,11/3/2021 0:40,1,TRUE,0,99999,99999
5,Yes. I will order this product again!,Yes.  I will order this product again!,[],B010BJYPHI,B010BJYPHI,AHHLWTHT2EIL57M4USFLKYM5P3VA,7/28/2016 4:26,0,TRUE,1,99999,99999
2,Raw Kokum Butter,"it was very hard & did not mix well with my olive oil, peppermint oil, coconut oil & shea butter mixture.... will not be purchasing again",[],B00AEG9HCC,B00AEG9HCC,AGDFXQPFVF7JKS5NBTJ3LB3YAMBA,2/17/2014 6:53,0,TRUE,0,99999,99999
5,Love this makeup,love it. Great coverage,[],B00WZOH1KQ,B00WZOH1KQ,AGQ4FNYFNSZOVCGH5UIY6JVUW7GA,2/27/2019 15:06,1,TRUE,1,99999,99999
1,Defective,"The item was very poorly wrapped and defective - top part does not lock into the bottle below. The bottle can easily come off the top spray part when you use it. Water also drifts out as you spray. It does have continuous spray, meaning you can press once and the spray will come out for a few seconds without stopping.",[],B0894LZTJD,B0894LZTJD,AEXT3BLRCHYDTXVVKEAJQO3FNR5A,9/10/2020 3:53,0,TRUE,0,99999,99999
5,Why else would you buy two?,Best cleanser for sensitive oily skin! So I bought 2.,[],B01N5GPXG2,B01N5GPXG2,AF3KAXOVPFOUPOMAFHBBOETMRZQA,7/9/2018 15:26,0,TRUE,0,99999,99999
3,Not so great product.,I was expecting a better quality product.  The tool with the loop fell apart after the second strand. I had to hot glue it back together to be able to use.The second tool isn't working well the latch is loose so it tends to pull the silicone out the hair staple.The pliers are great and sturdy.,[],B075X93H5G,B075X93H5G,AH5PTU3I6DX222TIMBYP2UEV3DGQ,3/25/2021 19:20,0,TRUE,0,99999,99999
5,"Great product, fast service","I ordered this hair on Saturday And received it on Monday, I received email from a very pleasant customer service representative Eric,<br />The hair  is soft and the texture feels great, I love the waves and how thick the bundle is, cant wait to install it, more review to follow.",[],B071ZZBK6H,B071ZZBK6H,AHRJEKUJCDJYX3WF6QSGKZWZ23SQ,12/6/2017 3:13,9,TRUE,0,99999,99999
5,"Clean, convenient, and comfortable!","These are so convenience to carry with you in a purse or handbag, but what I love most about them is that they really do relieve itching.",[],B01EU00VHM,B01EU00VHM,AH2H3PHN2CLTNXJ5UFONG6YBN5GA,10/30/2017 5:06,0,TRUE,0,99999,99999
5,GOOD,SMELL NICE BUT NOT LIKE LAVENDER,[],B017SEPX20,B017SEPX20,AGEH3ABSZ4RJFEXJEHMZLWKM572Q,7/17/2016 18:26,1,TRUE,1,99999,99999
1,One Star,No se ajustan a unas cejas normales.,[],B07BBH585X,B07BBH585X,AFPTJ4PZR62UGGGV2CUYN3H6QQSA,8/26/2018 2:20,0,TRUE,1,99999,99999
5,Smooth heels,"This is one of the best products I have used for my feet to remove the callouses. It smooths the skin and doesn't rub too hard or scrape my skin. It doesn't leave any cuts or raw patches. This is easy to clean and use. I even got my husband to start using it and he loves it. Cleans up quickly and easily. I would recommend this to anyone who wants to have smooth heels and feet, and also to those who have tender skin because it doesn't hurt.",[],B0067BAIM6,B0067BAIM6,AHRGGMWGUGAPRHYSO5Y62IVWKAFA,2/18/2013 17:53,0,TRUE,0,99999,99999
4,Exfoliate first,"Soft, wears off over the day. Make sure you exfoliate lips before you wear",[],B019VXW3AG,B019VXW3AG,AGO3NNFIZN22CECCSYPFHURAKJPA,7/5/2018 19:46,0,TRUE,0,99999,99999
5,"Not too thick, not too thin. Just right ...","Not too thick, not too thin. Just right . Perfection on a budget","[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61oDoeuk9JL.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61oDoeuk9JL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/61oDoeuk9JL._SL256_.jpg'}]",B075DZNYXT,B075DZNYXT,AGHPMQ6B3PEWJ4OMS3YR6NBP3PMQ,3/12/2018 15:53,0,TRUE,0,99999,99999
5,Great Purchase!!,"I love love love this hair! So soft, bouncy, full. Worth the purchase.. will be getting more! This is my 4th purchase!",[],B074J3QG76,B074J3QG76,AELVR3IR6OY5IA7DRE4VQK2S7D6A,5/7/2020 5:40,0,TRUE,0,99999,99999
5,It goes a long way!,My daughter loves this latex. She's used it several times and the bottle is still almost full!,[],B01FF3V870,B01FF3V870,AFTM5U2VIWMSXMUTWUTGH74TAQSQ,7/8/2022 0:26,1,TRUE,0,99999,99999
1,To small,These are way to small for normal nail beds and I have small hands. They might fit a kid.,[],B085BN8S19,B085BN8S19,AGUC7EFDCLNJNNU6ST25RFDNGOQA,10/16/2020 3:46,1,TRUE,0,99999,99999
2,cheaply made,These are so flexible and not good quality.,[],B07V2RWFR3,B07V2RWFR3,AH34S3NM4WSXFUA24SVOPSMMXEIQ,8/20/2021 22:53,0,TRUE,0,99999,99999
5,Great Quality,Item works perfect and has plenty of pockets for everything that she will need when she travels. Fits into a small carry on suitcase as well.,[],B07YFWS1Y3,B07YFWS1Y3,AHJ2OIMKEA4JQ5NLO5WPRXSDSH4A,2/16/2021 21:13,0,FALSE,1,99999,99999
5,quality,great,[],B073DDTGQ4,B073DDTGQ4,AGSYPTJYQCOEQD2PEGP3OCS6X4KA,7/12/2021 22:46,0,TRUE,1,99999,99999
5,Ponytail Must have,It's duable for a protective style. Does tangle and you must do maintenance on it every day. Will purchase another one as a go through my process of getting my natural hair to grow.,"[{'attachment_type': 'IMAGE', 'large_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71tI5GNCRcL._SL1600_.jpg', 'medium_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71tI5GNCRcL._SL800_.jpg', 'small_image_url': 'https://images-na.ssl-images-amazon.com/images/I/71tI5GNCRcL._SL256_.jpg'}]",B07XD14NJD,B07XD14NJD,AEURZUVZ57BKS5AVEIL7CRB4W35A,1/17/2020 16:53,1,TRUE,0,99999,99999
4,Love my new shears,"Love my new shears, really smooth cut.  Light weight, and comfortable fit.  Only thing is it needs a spacer for the finger holes, they are too large.",[],B01AHJY50Y,B01AHJY4YQ,AHIVGVDXDMGDJRU7GTDZDBP7SMFA,3/30/2016 15:00,0,FALSE,1,99999,99999
5,BEST make-up cover up I have ever used,BEST make-up cover up I have ever used! I have a lot of acne scarring on my chin and this has helped blend and cover those scars up.,[],B00JLH4NF6,B07FX823ZQ,AEVGWQDQDKZDEDX5UYFG5N7VX7OQ,10/8/2015 18:46,0,TRUE,0,99999,99999
4,Good stuff,Good stuff,[],B007IAM4YU,B007IAM4YU,AHR7FYZWTMYM34DM2ZBBEOEALKPA,10/21/2021 1:33,1,TRUE,0,99999,99999
5,Stocking stuffers,"I used these as stocking stuffers for Christmas and got so many compliments. I feel like everyone needed a new set when they couldn’t find anything or needed something for when we travel. It’s not a problem any more and it gives you more tools to use, some i don’t even know what for.",[],B019FT4Q06,B019FT4Q06,AFN4OIYEAS6PC3S5OYKANNQWFGLQ,8/4/2019 3:40,0,FALSE,1,99999,99999
5,Great,Wonderful!,[],BFSO9E9SPJ,BFSO9E9SPJ,08J1BBD8CK3A7851,2/19/2025 21:20,0,FALSE,1,99999,99999
1,Didn't smell like Baccarat rouge 540,Fragrance.,[],B08SJBD8CQ,B0B19442P6,AG472HQFF7WS2VSYISDG52OEQLGA,7/23/2022 18:13,1,TRUE,1,99999,99999
5,Highly recommend,Incredible quality!!!,[],BSJH82GF4E,BSJH82GF4E,V0D68FR8RUI31PHY,12/2/2022 16:53,0,FALSE,1,99999,99999
5,Five Stars,Bought this product for my wedding and it was amazing. I felt like and looked like a queen.,[],B01MAUVEDI,B01MAUVEDI,AGQSTWV6NIHHRZAEB5HR6TSOFVSA,8/9/2017 17:33,0,TRUE,0,99999,99999
5,Lasts forever,"It actually grows off it doesn’t come off at all. I have to buff and then soak, then scrape it off. An amazing product if you don’t change your color too often.",[],B0887WSTJ4,B0887WSTJ4,AE4BC3RBCHMVOQZ2GN6AU5YUUVYA,5/17/2022 1:13,0,TRUE,0,99999,99999
5,Works,Perfect for washrooms without soap.  Great for the road.,[],B07PWLXFR5,B07PWLXFR5,AEB7OXT6KQHTWF47PW7OWWHYIMRA,10/23/2019 19:46,0,TRUE,0,99999,99999
5,... only used this product once but so far so good!,I have only used this product once but so far so good! =D,[],B01GS7QKQQ,B01GS7QKQQ,AHWZIPZLB4S27TMEOLVL2IK2WMEA,3/29/2017 17:53,0,TRUE,0,99999,99999
5,Love this!,Makes lashing so much easier!!,[],B097T8ZDVB,B097T8ZDVB,AHSZCX2USM436SV2JCZUCRRLEAUQ,10/13/2021 13:00,0,TRUE,1,99999,99999
